sep=,
"Time","dt_sound_level_dB"
2022-03-16 00:08:00,49
2022-03-16 00:09:00,51
2022-03-16 00:10:00,56
2022-03-16 00:11:00,53
2022-03-16 00:12:00,51
2022-03-16 00:13:00,51
2022-03-16 00:14:00,49
2022-03-16 00:15:00,50
2022-03-16 00:16:00,53
2022-03-16 00:18:00,51
2022-03-16 00:18:00,53
2022-03-16 00:19:00,51
2022-03-16 00:21:00,50
2022-03-16 00:21:00,51
2022-03-16 00:22:00,51
2022-03-16 00:24:00,50
2022-03-16 00:25:00,54
2022-03-16 00:26:00,50
2022-03-16 00:27:00,49
2022-03-16 00:48:00,49
2022-03-16 00:49:00,52
2022-03-16 00:50:00,50
2022-03-16 00:51:00,51
2022-03-16 00:52:00,52
2022-03-16 00:53:00,50
2022-03-16 00:54:00,48
2022-03-16 00:55:00,47
2022-03-16 00:56:00,49
2022-03-16 00:57:00,51
2022-03-16 00:58:00,51
2022-03-16 00:59:00,50
2022-03-16 01:00:00,49
2022-03-16 01:01:00,49
2022-03-16 01:02:00,49
2022-03-16 01:03:00,49
2022-03-16 01:04:00,50
2022-03-16 01:05:00,48
2022-03-16 01:06:00,51
2022-03-16 01:07:00,51
2022-03-16 01:38:00,48
2022-03-16 01:39:00,49
2022-03-16 01:40:00,50
2022-03-16 01:41:00,51
2022-03-16 01:42:00,48
2022-03-16 01:43:00,48
2022-03-16 01:44:00,48
2022-03-16 01:45:00,50
2022-03-16 01:46:00,50
2022-03-16 01:47:00,49
2022-03-16 03:08:00,48
2022-03-16 03:09:00,51
2022-03-16 03:10:00,47
2022-03-16 03:11:00,49
2022-03-16 03:12:00,47
2022-03-16 03:13:00,47
2022-03-16 03:14:00,47
2022-03-16 03:16:00,51
2022-03-16 03:17:00,47
2022-03-16 03:18:00,50
2022-03-16 03:19:00,48
2022-03-16 03:19:00,50
2022-03-16 03:20:00,49
2022-03-16 03:22:00,49
2022-03-16 03:23:00,49
2022-03-16 03:24:00,51
2022-03-16 03:25:00,51
2022-03-16 03:26:00,51
2022-03-16 03:27:00,48
2022-03-16 03:28:00,51
2022-03-16 03:29:00,49
2022-03-16 03:30:00,48
2022-03-16 03:31:00,50
2022-03-16 03:32:00,48
2022-03-16 03:33:00,48
2022-03-16 03:34:00,51
2022-03-16 03:35:00,48
2022-03-16 03:36:00,51
2022-03-16 03:37:00,50
2022-03-16 03:58:00,52
2022-03-16 03:59:00,49
2022-03-16 04:00:00,49
2022-03-16 04:01:00,50
2022-03-16 04:02:00,47
2022-03-16 04:03:00,48
2022-03-16 04:04:00,50
2022-03-16 04:05:00,48
2022-03-16 04:06:00,52
2022-03-16 04:07:00,48
2022-03-16 04:08:00,47
2022-03-16 04:09:00,51
2022-03-16 04:10:00,50
2022-03-16 04:11:00,49
2022-03-16 04:12:00,51
2022-03-16 04:13:00,47
2022-03-16 04:15:00,51
2022-03-16 04:16:00,47
2022-03-16 04:16:00,48
2022-03-16 04:18:00,48
2022-03-16 05:19:00,52
2022-03-16 05:20:00,50
2022-03-16 05:21:00,51
2022-03-16 05:22:00,49
2022-03-16 05:23:00,52
2022-03-16 05:24:00,49
2022-03-16 05:25:00,51
2022-03-16 05:26:00,51
2022-03-16 05:27:00,54
2022-03-16 05:28:00,50
2022-03-16 05:29:00,50
2022-03-16 05:30:00,53
2022-03-16 05:31:00,52
2022-03-16 05:32:00,52
2022-03-16 05:33:00,53
2022-03-16 05:34:00,51
2022-03-16 05:35:00,52
2022-03-16 05:36:00,53
2022-03-16 05:37:00,51
2022-03-16 05:48:00,51
2022-03-16 05:49:00,51
2022-03-16 05:50:00,54
2022-03-16 05:51:00,53
2022-03-16 05:52:00,57
2022-03-16 05:53:00,53
2022-03-16 05:54:00,50
2022-03-16 05:55:00,51
