sep=,
"Time","dt_sound_level_dB"
2022-03-16 01:08:00,48
2022-03-16 01:10:00,48
2022-03-16 01:11:00,50
2022-03-16 01:12:00,42
2022-03-16 01:13:00,45
2022-03-16 01:14:00,46
2022-03-16 01:15:00,46
2022-03-16 01:16:00,50
2022-03-16 01:17:00,49
2022-03-16 01:18:00,43
2022-03-16 01:38:00,45
2022-03-16 01:39:00,43
2022-03-16 01:40:00,47
2022-03-16 01:41:00,42
2022-03-16 01:42:00,42
2022-03-16 01:43:00,44
2022-03-16 01:44:00,43
2022-03-16 01:45:00,44
2022-03-16 01:46:00,42
2022-03-16 01:47:00,44
2022-03-16 02:09:00,42
2022-03-16 02:10:00,44
2022-03-16 02:11:00,43
2022-03-16 02:12:00,42
2022-03-16 02:13:00,44
2022-03-16 02:14:00,46
2022-03-16 02:15:00,53
2022-03-16 02:16:00,44
2022-03-16 02:17:00,42
2022-03-16 02:18:00,46
2022-03-16 02:19:00,43
2022-03-16 02:20:00,42
2022-03-16 02:21:00,45
2022-03-16 02:22:00,41
2022-03-16 02:23:00,42
2022-03-16 02:24:00,46
2022-03-16 02:25:00,47
2022-03-16 02:26:00,45
2022-03-16 02:27:00,42
2022-03-16 02:28:00,47
2022-03-16 02:29:00,48
2022-03-16 02:30:00,46
2022-03-16 02:31:00,41
2022-03-16 02:32:00,43
2022-03-16 02:33:00,42
2022-03-16 02:34:00,46
2022-03-16 02:35:00,42
2022-03-16 02:36:00,47
2022-03-16 02:37:00,43
2022-03-16 03:48:00,46
2022-03-16 03:49:00,50
2022-03-16 03:50:00,43
2022-03-16 03:51:00,45
2022-03-16 03:52:00,52
2022-03-16 03:53:00,43
2022-03-16 03:54:00,45
2022-03-16 03:55:00,43
2022-03-16 03:56:00,47
2022-03-16 03:57:00,45
2022-03-16 04:09:00,53
2022-03-16 04:10:00,43
2022-03-16 04:11:00,45
2022-03-16 04:12:00,48
2022-03-16 04:13:00,44
2022-03-16 04:13:00,45
2022-03-16 04:14:00,45
2022-03-16 04:15:00,47
2022-03-16 04:16:00,45
2022-03-16 04:17:00,43
2022-03-16 06:19:00,48
2022-03-16 06:20:00,49
2022-03-16 06:21:00,58
2022-03-16 06:22:00,62
2022-03-16 06:23:00,59
2022-03-16 06:24:00,53
2022-03-16 06:25:00,54
2022-03-16 06:26:00,51
2022-03-16 06:27:00,54
2022-03-16 06:28:00,57
2022-03-16 06:29:00,60
2022-03-16 06:30:00,58
2022-03-16 06:31:00,51
2022-03-16 06:32:00,50
2022-03-16 06:33:00,50
2022-03-16 06:34:00,56
2022-03-16 06:35:00,56
2022-03-16 06:36:00,61
2022-03-16 06:37:00,59
2022-03-16 09:58:00,62
2022-03-16 09:59:00,64
2022-03-16 10:00:00,61
2022-03-16 10:01:00,60
2022-03-16 10:02:00,64
2022-03-16 10:03:00,61
2022-03-16 10:04:00,58
2022-03-16 10:05:00,62
2022-03-16 10:06:00,61
2022-03-16 10:07:00,60
2022-03-16 10:08:00,63
2022-03-16 10:09:00,63
2022-03-16 10:10:00,60
2022-03-16 10:11:00,64
2022-03-16 10:12:00,64
2022-03-16 10:13:00,58
2022-03-16 10:14:00,62
2022-03-16 10:15:00,63
2022-03-16 10:16:00,59
2022-03-16 10:17:00,65
2022-03-16 10:38:00,62
2022-03-16 10:39:00,62
2022-03-16 10:40:00,62
2022-03-16 10:41:00,64
2022-03-16 10:42:00,62
2022-03-16 10:43:00,63
2022-03-16 10:44:00,63
2022-03-16 10:45:00,60
2022-03-16 10:46:00,64
2022-03-16 10:47:00,64
2022-03-16 12:08:00,64
2022-03-16 12:09:00,62
2022-03-16 12:10:00,58
2022-03-16 12:11:00,63
2022-03-16 12:12:00,63
2022-03-16 12:13:00,57
2022-03-16 12:14:00,63
2022-03-16 12:15:00,65
2022-03-16 12:16:00,60
2022-03-16 12:17:00,63
2022-03-16 12:19:00,65
2022-03-16 12:20:00,61
2022-03-16 12:21:00,61
2022-03-16 12:22:00,65
2022-03-16 12:23:00,60
2022-03-16 12:24:00,61
2022-03-16 12:25:00,65
2022-03-16 12:26:00,60
2022-03-16 12:27:00,59
2022-03-16 12:28:00,65
2022-03-16 12:29:00,61
2022-03-16 12:30:00,62
2022-03-16 12:31:00,65
2022-03-16 12:32:00,63
2022-03-16 12:33:00,63
2022-03-16 12:34:00,64
2022-03-16 12:35:00,63
2022-03-16 12:36:00,60
2022-03-16 12:37:00,65
2022-03-16 13:18:00,64
2022-03-16 13:20:00,63
2022-03-16 13:21:00,59
2022-03-16 13:22:00,64
2022-03-16 13:23:00,59
2022-03-16 13:24:00,61
2022-03-16 13:25:00,66
2022-03-16 13:26:00,60
2022-03-16 13:27:00,62
2022-03-16 13:28:00,66
2022-03-16 13:38:00,64
2022-03-16 13:39:00,60
2022-03-16 13:40:00,62
2022-03-16 13:41:00,62
2022-03-16 13:42:00,59
2022-03-16 13:43:00,61
2022-03-16 13:44:00,65
2022-03-16 13:45:00,61
2022-03-16 13:46:00,65
2022-03-16 13:47:00,65
2022-03-16 13:58:00,58
2022-03-16 13:59:00,64
2022-03-16 14:00:00,61
2022-03-16 14:01:00,61
2022-03-16 14:02:00,66
2022-03-16 14:03:00,64
2022-03-16 14:04:00,60
2022-03-16 14:05:00,63
2022-03-16 14:06:00,63
2022-03-16 14:07:00,62
2022-03-16 14:19:00,64
2022-03-16 14:20:00,61
2022-03-16 14:21:00,62
2022-03-16 14:22:00,65
2022-03-16 14:23:00,59
2022-03-16 14:24:00,61
2022-03-16 14:25:00,66
2022-03-16 14:26:00,59
2022-03-16 14:27:00,60
2022-03-16 14:28:00,66
2022-03-16 14:38:00,63
2022-03-16 14:39:00,60
2022-03-16 14:40:00,61
2022-03-16 14:41:00,66
2022-03-16 14:42:00,63
2022-03-16 14:43:00,63
2022-03-16 14:44:00,64
2022-03-16 14:45:00,59
2022-03-16 14:46:00,61
2022-03-16 14:47:00,66
2022-03-16 15:03:00,63
2022-03-16 15:04:00,64
2022-03-16 15:05:00,60
2022-03-16 15:06:00,61
2022-03-16 15:07:00,63
2022-03-16 15:07:00,66
2022-03-16 15:08:00,63
2022-03-16 15:09:00,61
2022-03-16 15:10:00,65
2022-03-16 15:11:00,61
2022-03-16 15:12:00,57
2022-03-16 15:13:00,63
2022-03-16 15:14:00,61
2022-03-16 15:15:00,60
2022-03-16 15:16:00,64
2022-03-16 15:17:00,62
2022-03-16 15:18:00,61
2022-03-16 15:19:00,64
2022-03-16 15:20:00,63
2022-03-16 15:21:00,58
2022-03-16 15:22:00,63
2022-03-16 15:23:00,64
2022-03-16 15:24:00,62
2022-03-16 15:25:00,62
2022-03-16 15:26:00,65
2022-03-16 15:27:00,60
2022-03-16 15:28:00,62
2022-03-16 15:29:00,65
2022-03-16 15:30:00,61
2022-03-16 15:31:00,62
2022-03-16 15:32:00,64
2022-03-16 18:43:00,56
