sep=,
"Time","dt_sound_level_dB"
2022-03-16 00:55:00,48
2022-03-16 00:56:00,47
2022-03-16 00:57:00,46
2022-03-16 00:58:00,48
2022-03-16 00:59:00,46
2022-03-16 01:00:00,49
2022-03-16 01:01:00,48
2022-03-16 01:02:00,49
2022-03-16 01:03:00,49
2022-03-16 01:04:00,47
2022-03-16 01:16:00,51
2022-03-16 01:17:00,47
2022-03-16 01:18:00,47
2022-03-16 01:19:00,46
2022-03-16 01:20:00,47
2022-03-16 01:21:00,48
2022-03-16 01:22:00,46
2022-03-16 01:23:00,49
2022-03-16 01:24:00,46
2022-03-16 01:25:00,47
2022-03-16 01:26:00,46
2022-03-16 01:27:00,51
2022-03-16 01:28:00,50
2022-03-16 01:29:00,49
2022-03-16 01:30:00,48
2022-03-16 01:31:00,50
2022-03-16 01:32:00,49
2022-03-16 01:33:00,48
2022-03-16 01:34:00,50
2022-03-16 01:35:00,48
2022-03-16 01:46:00,48
2022-03-16 01:47:00,51
2022-03-16 01:48:00,47
2022-03-16 01:49:00,51
2022-03-16 01:50:00,46
2022-03-16 01:51:00,46
2022-03-16 01:52:00,49
2022-03-16 01:53:00,48
2022-03-16 01:54:00,50
2022-03-16 01:55:00,49
2022-03-16 01:56:00,46
2022-03-16 01:57:00,48
2022-03-16 01:58:00,48
2022-03-16 01:59:00,48
2022-03-16 02:00:00,48
2022-03-16 02:01:00,49
2022-03-16 02:02:00,49
2022-03-16 02:03:00,48
2022-03-16 02:04:00,48
2022-03-16 02:16:00,47
2022-03-16 02:17:00,48
2022-03-16 02:18:00,51
2022-03-16 02:19:00,47
2022-03-16 02:20:00,50
2022-03-16 02:21:00,49
2022-03-16 02:22:00,47
2022-03-16 02:23:00,48
2022-03-16 02:24:00,51
2022-03-16 02:25:00,52
2022-03-16 02:26:00,50
2022-03-16 02:27:00,49
2022-03-16 02:28:00,50
2022-03-16 02:29:00,49
2022-03-16 02:30:00,49
2022-03-16 02:31:00,47
2022-03-16 02:32:00,50
2022-03-16 02:33:00,48
2022-03-16 02:34:00,52
2022-03-16 02:35:00,46
2022-03-16 03:55:00,47
2022-03-16 03:56:00,46
2022-03-16 03:57:00,48
2022-03-16 03:58:00,51
2022-03-16 03:59:00,46
2022-03-16 04:00:00,52
2022-03-16 04:01:00,52
2022-03-16 04:02:00,46
2022-03-16 04:03:00,46
2022-03-16 04:04:00,48
2022-03-16 05:05:00,49
2022-03-16 05:06:00,51
2022-03-16 05:07:00,48
2022-03-16 05:08:00,52
2022-03-16 05:09:00,51
2022-03-16 05:10:00,50
2022-03-16 05:11:00,51
2022-03-16 05:12:00,49
2022-03-16 05:13:00,49
2022-03-16 05:14:00,53
2022-03-16 05:36:00,54
2022-03-16 05:37:00,52
2022-03-16 05:38:00,51
2022-03-16 05:39:00,50
2022-03-16 05:40:00,57
2022-03-16 05:41:00,55
2022-03-16 05:42:00,53
2022-03-16 05:43:00,51
2022-03-16 05:44:00,52
2022-03-16 05:45:00,50
2022-03-16 05:46:00,55
2022-03-16 05:47:00,53
2022-03-16 05:48:00,58
2022-03-16 05:49:00,55
2022-03-16 05:50:00,52
2022-03-16 05:51:00,50
2022-03-16 05:52:00,54
2022-03-16 05:53:00,57
2022-03-16 05:54:00,55
2022-03-16 06:05:00,49
2022-03-16 06:06:00,56
2022-03-16 06:07:00,55
2022-03-16 06:08:00,55
2022-03-16 06:09:00,53
2022-03-16 06:10:00,54
2022-03-16 06:11:00,55
2022-03-16 06:12:00,54
2022-03-16 06:13:00,54
2022-03-16 06:14:00,57
2022-03-16 06:36:00,58
2022-03-16 06:37:00,51
2022-03-16 06:38:00,54
2022-03-16 06:39:00,60
2022-03-16 06:40:00,59
2022-03-16 06:41:00,62
2022-03-16 06:42:00,55
2022-03-16 06:43:00,55
2022-03-16 06:44:00,54
2022-03-16 06:45:00,55
2022-03-16 10:05:00,62
2022-03-16 10:06:00,61
2022-03-16 10:07:00,60
2022-03-16 10:08:00,63
2022-03-16 10:09:00,56
2022-03-16 10:10:00,61
2022-03-16 10:11:00,65
2022-03-16 10:12:00,60
2022-03-16 10:13:00,63
2022-03-16 10:14:00,64
2022-03-16 10:36:00,61
2022-03-16 10:37:00,64
2022-03-16 10:38:00,61
2022-03-16 10:39:00,63
2022-03-16 10:40:00,64
2022-03-16 10:41:00,62
2022-03-16 10:42:00,60
2022-03-16 10:43:00,64
2022-03-16 10:44:00,61
2022-03-16 10:45:00,60
2022-03-16 10:56:00,62
2022-03-16 10:57:00,62
2022-03-16 10:58:00,62
2022-03-16 10:59:00,62
2022-03-16 11:00:00,61
2022-03-16 11:01:00,62
2022-03-16 11:02:00,62
2022-03-16 11:03:00,60
2022-03-16 11:04:00,63
2022-03-16 11:46:00,65
2022-03-16 11:47:00,63
2022-03-16 11:48:00,63
2022-03-16 11:49:00,65
2022-03-16 11:50:00,62
2022-03-16 11:51:00,61
2022-03-16 11:52:00,66
2022-03-16 11:53:00,64
2022-03-16 11:54:00,62
2022-03-16 11:55:00,64
2022-03-16 11:56:00,62
2022-03-16 11:57:00,59
