sep=,
"Time","dt_sound_level_dB"
2022-03-16 00:28:00,49
2022-03-16 00:29:00,55
2022-03-16 00:30:00,52
2022-03-16 00:31:00,54
2022-03-16 00:32:00,53
2022-03-16 00:33:00,54
2022-03-16 00:34:00,51
2022-03-16 00:35:00,51
2022-03-16 00:36:00,52
2022-03-16 00:37:00,49
2022-03-16 00:38:00,51
2022-03-16 00:39:00,50
2022-03-16 00:41:00,49
2022-03-16 00:41:00,50
2022-03-16 00:43:00,50
2022-03-16 00:44:00,54
2022-03-16 00:45:00,51
2022-03-16 00:45:00,54
2022-03-16 00:47:00,51
2022-03-16 01:08:00,55
2022-03-16 01:09:00,52
2022-03-16 01:10:00,50
2022-03-16 01:11:00,50
2022-03-16 01:12:00,49
2022-03-16 01:13:00,49
2022-03-16 01:14:00,49
2022-03-16 01:15:00,48
2022-03-16 01:16:00,52
2022-03-16 01:17:00,51
2022-03-16 01:18:00,49
2022-03-16 01:19:00,48
2022-03-16 01:20:00,51
2022-03-16 01:21:00,47
2022-03-16 01:22:00,51
2022-03-16 01:23:00,49
2022-03-16 01:24:00,49
2022-03-16 01:25:00,49
2022-03-16 01:26:00,51
2022-03-16 01:27:00,48
2022-03-16 01:28:00,49
2022-03-16 01:29:00,53
2022-03-16 01:30:00,52
2022-03-16 01:31:00,47
2022-03-16 01:32:00,47
2022-03-16 01:33:00,50
2022-03-16 01:34:00,51
2022-03-16 01:35:00,51
2022-03-16 01:36:00,48
2022-03-16 01:37:00,50
2022-03-16 01:58:00,49
2022-03-16 01:59:00,49
2022-03-16 02:00:00,50
2022-03-16 02:01:00,47
2022-03-16 02:02:00,47
2022-03-16 02:03:00,50
2022-03-16 02:04:00,49
2022-03-16 02:05:00,51
2022-03-16 02:06:00,49
2022-03-16 02:07:00,51
2022-03-16 02:08:00,50
2022-03-16 02:09:00,47
2022-03-16 02:10:00,48
2022-03-16 02:11:00,49
2022-03-16 02:12:00,49
2022-03-16 02:13:00,48
2022-03-16 02:14:00,50
2022-03-16 02:15:00,55
2022-03-16 02:16:00,49
2022-03-16 02:17:00,49
2022-03-16 03:38:00,52
2022-03-16 03:39:00,48
2022-03-16 03:41:00,47
2022-03-16 03:43:00,49
2022-03-16 03:44:00,50
2022-03-16 03:45:00,47
2022-03-16 03:46:00,48
2022-03-16 03:47:00,48
2022-03-16 03:48:00,49
2022-03-16 03:49:00,49
2022-03-16 03:50:00,50
2022-03-16 03:51:00,52
2022-03-16 03:52:00,47
2022-03-16 03:53:00,52
2022-03-16 03:54:00,49
2022-03-16 03:55:00,48
2022-03-16 03:56:00,47
2022-03-16 03:57:00,50
2022-03-16 04:58:00,50
2022-03-16 04:59:00,51
2022-03-16 05:00:00,48
2022-03-16 05:01:00,53
2022-03-16 05:02:00,49
2022-03-16 05:03:00,52
2022-03-16 05:04:00,53
2022-03-16 05:05:00,48
2022-03-16 05:06:00,47
2022-03-16 05:07:00,52
2022-03-16 05:39:00,51
2022-03-16 05:40:00,50
2022-03-16 05:40:00,53
2022-03-16 05:41:00,51
2022-03-16 05:42:00,55
2022-03-16 05:43:00,55
