sep=,
"Time","dt_sound_level_dB"
2022-03-16 06:42:00,57
2022-03-16 06:43:00,60
2022-03-16 06:44:00,55
2022-03-16 06:45:00,49
2022-03-16 06:46:00,46
2022-03-16 06:47:00,54
2022-03-16 06:48:00,55
2022-03-16 06:49:00,59
2022-03-16 06:50:00,58
2022-03-16 06:51:00,49
2022-03-16 06:52:00,50
2022-03-16 06:53:00,50
2022-03-16 06:54:00,57
2022-03-16 06:55:00,60
2022-03-16 06:56:00,58
2022-03-16 06:57:00,57
2022-03-16 06:58:00,53
2022-03-16 06:59:00,50
2022-03-16 07:00:00,49
2022-03-16 07:01:00,53
2022-03-16 07:02:00,61
2022-03-16 07:03:00,62
2022-03-16 07:04:00,49
2022-03-16 09:45:00,58
2022-03-16 09:46:00,65
2022-03-16 09:47:00,64
2022-03-16 09:48:00,58
2022-03-16 09:49:00,60
2022-03-16 09:50:00,65
2022-03-16 09:51:00,62
2022-03-16 09:52:00,58
2022-03-16 09:53:00,63
2022-03-16 09:54:00,59
2022-03-16 10:05:00,62
2022-03-16 10:06:00,62
2022-03-16 10:07:00,58
2022-03-16 10:09:00,63
2022-03-16 10:10:00,63
2022-03-16 10:11:00,55
2022-03-16 10:12:00,62
2022-03-16 10:13:00,63
2022-03-16 10:14:00,57
2022-03-16 10:15:00,59
2022-03-16 10:15:00,65
2022-03-16 10:17:00,60
2022-03-16 10:18:00,59
2022-03-16 10:19:00,65
2022-03-16 10:20:00,59
2022-03-16 10:21:00,59
2022-03-16 10:22:00,63
2022-03-16 10:23:00,59
2022-03-16 10:24:00,59
2022-03-16 10:25:00,66
2022-03-16 10:26:00,62
2022-03-16 10:27:00,57
2022-03-16 10:28:00,64
2022-03-16 10:29:00,60
2022-03-16 10:30:00,55
2022-03-16 10:31:00,63
2022-03-16 10:32:00,62
2022-03-16 10:33:00,59
2022-03-16 10:34:00,62
2022-03-16 10:34:00,63
2022-03-16 10:36:00,58
2022-03-16 10:37:00,64
2022-03-16 10:38:00,62
2022-03-16 10:39:00,58
2022-03-16 10:40:00,64
2022-03-16 10:41:00,65
2022-03-16 10:42:00,58
2022-03-16 10:43:00,63
2022-03-16 10:44:00,63
2022-03-16 11:15:00,64
2022-03-16 11:16:00,59
2022-03-16 11:18:00,59
2022-03-16 11:18:00,70
2022-03-16 11:19:00,58
2022-03-16 11:21:00,59
2022-03-16 11:22:00,59
2022-03-16 11:22:00,64
2022-03-16 11:23:00,57
2022-03-16 11:25:00,67
2022-03-16 11:35:00,64
2022-03-16 11:36:00,57
2022-03-16 11:37:00,62
2022-03-16 11:38:00,62
2022-03-16 11:39:00,58
2022-03-16 11:40:00,60
2022-03-16 11:41:00,63
2022-03-16 11:42:00,58
2022-03-16 11:43:00,60
2022-03-16 11:44:00,64
2022-03-16 12:16:00,65
2022-03-16 12:17:00,58
2022-03-16 12:17:00,62
2022-03-16 12:18:00,66
2022-03-16 12:20:00,62
2022-03-16 12:21:00,58
2022-03-16 12:21:00,67
2022-03-16 12:23:00,60
2022-03-16 12:24:00,59
2022-03-16 12:25:00,58
2022-03-16 12:25:00,65
2022-03-16 12:27:00,57
2022-03-16 12:28:00,59
2022-03-16 12:28:00,65
2022-03-16 12:30:00,59
2022-03-16 12:31:00,64
2022-03-16 12:32:00,63
2022-03-16 12:33:00,56
2022-03-16 12:34:00,65
2022-03-16 12:35:00,63
2022-03-16 12:36:00,58
2022-03-16 12:37:00,62
2022-03-16 12:38:00,63
2022-03-16 12:39:00,61
2022-03-16 12:40:00,62
2022-03-16 12:41:00,64
2022-03-16 12:42:00,61
2022-03-16 12:43:00,59
2022-03-16 12:44:00,65
2022-03-16 12:45:00,59
2022-03-16 12:46:00,61
2022-03-16 12:47:00,66
2022-03-16 12:48:00,61
2022-03-16 12:49:00,63
2022-03-16 12:50:00,67
2022-03-16 12:51:00,58
2022-03-16 12:52:00,58
2022-03-16 12:53:00,66
2022-03-16 12:54:00,58
2022-03-16 13:05:00,64
2022-03-16 13:06:00,64
2022-03-16 13:07:00,54
2022-03-16 13:09:00,63
2022-03-16 13:09:00,66
2022-03-16 13:10:00,58
2022-03-16 13:11:00,64
2022-03-16 13:13:00,58
2022-03-16 13:13:00,66
2022-03-16 13:15:00,62
2022-03-16 13:16:00,65
2022-03-16 13:17:00,60
2022-03-16 13:19:00,67
2022-03-16 13:20:00,57
2022-03-16 13:21:00,58
2022-03-16 13:21:00,65
2022-03-16 13:23:00,69
2022-03-16 13:24:00,57
2022-03-16 13:24:00,66
2022-03-16 13:25:00,60
2022-03-16 13:27:00,55
2022-03-16 13:28:00,61
2022-03-16 13:28:00,66
2022-03-16 13:30:00,56
2022-03-16 13:31:00,63
2022-03-16 13:31:00,65
2022-03-16 13:33:00,56
2022-03-16 13:34:00,62
2022-03-16 13:35:00,62
2022-03-16 18:51:00,59
2022-03-16 18:52:00,64
2022-03-16 18:53:00,53
2022-03-16 18:54:00,55
2022-03-16 18:55:00,62
2022-03-16 18:56:00,56
2022-03-16 18:57:00,55
2022-03-16 18:58:00,63
2022-03-16 18:59:00,57
2022-03-16 19:00:00,51
2022-03-16 19:01:00,61
2022-03-16 19:02:00,55
2022-03-16 19:03:00,54
2022-03-16 19:04:00,63
2022-03-16 19:05:00,57
2022-03-16 19:06:00,53
2022-03-16 19:07:00,63
2022-03-16 19:08:00,60
2022-03-16 19:09:00,54
2022-03-16 20:41:00,58
2022-03-16 20:42:00,51
2022-03-16 20:43:00,50
2022-03-16 20:44:00,54
2022-03-16 20:45:00,60
2022-03-16 20:46:00,57
2022-03-16 20:47:00,56
2022-03-16 20:48:00,53
2022-03-16 20:49:00,52
2022-03-16 20:50:00,56
2022-03-16 21:10:00,51
2022-03-16 21:11:00,59
2022-03-16 21:12:00,59
2022-03-16 21:13:00,62
2022-03-16 21:14:00,54
2022-03-16 21:15:00,52
2022-03-16 21:16:00,51
2022-03-16 21:17:00,57
2022-03-16 21:18:00,58
2022-03-16 21:19:00,60
2022-03-16 21:20:00,57
2022-03-16 21:21:00,52
2022-03-16 21:22:00,50
2022-03-16 21:23:00,54
2022-03-16 21:24:00,58
2022-03-16 21:25:00,61
2022-03-16 21:26:00,57
2022-03-16 21:27:00,52
2022-03-16 21:28:00,52
2022-03-16 21:29:00,48
2022-03-16 22:10:00,49
2022-03-16 22:11:00,54
2022-03-16 22:12:00,57
2022-03-16 22:13:00,54
2022-03-16 22:14:00,51
2022-03-16 22:15:00,52
2022-03-16 22:16:00,49
2022-03-16 22:17:00,55
2022-03-16 22:18:00,55
2022-03-16 22:19:00,57
2022-03-16 23:01:00,52
2022-03-16 23:02:00,49
2022-03-16 23:03:00,46
2022-03-16 23:04:00,52
2022-03-16 23:05:00,57
2022-03-16 23:06:00,56
2022-03-16 23:07:00,50
2022-03-16 23:08:00,48
2022-03-16 23:09:00,44
2022-03-16 23:10:00,49
2022-03-16 23:11:00,53
2022-03-16 23:12:00,52
2022-03-16 23:13:00,54
2022-03-16 23:14:00,48
2022-03-16 23:15:00,47
2022-03-16 23:16:00,51
2022-03-16 23:17:00,47
2022-03-16 23:18:00,52
2022-03-16 23:19:00,52
2022-03-16 23:20:00,51
2022-03-16 23:21:00,54
2022-03-16 23:22:00,44
2022-03-16 23:23:00,48
2022-03-16 23:24:00,54
2022-03-16 23:25:00,56
2022-03-16 23:26:00,52
2022-03-16 23:27:00,50
2022-03-16 23:28:00,43
2022-03-16 23:29:00,44
2022-03-16 23:41:00,56
2022-03-16 23:42:00,50
2022-03-16 23:43:00,51
2022-03-16 23:44:00,55
2022-03-16 23:45:00,55
2022-03-16 23:46:00,54
2022-03-16 23:47:00,50
2022-03-16 23:48:00,51
2022-03-16 23:49:00,52
2022-03-16 23:50:00,50
2022-03-17 00:10:00,46
2022-03-17 00:11:00,50
2022-03-17 00:12:00,50
2022-03-17 00:13:00,45
2022-03-17 00:14:00,51
2022-03-17 00:15:00,46
2022-03-17 00:16:00,45
2022-03-17 00:17:00,49
2022-03-17 00:18:00,49
2022-03-17 00:19:00,50
2022-03-17 00:20:00,52
2022-03-17 00:21:00,46
2022-03-17 00:22:00,54
2022-03-17 00:23:00,49
2022-03-17 00:24:00,53
2022-03-17 00:25:00,52
2022-03-17 00:26:00,51
2022-03-17 00:27:00,54
2022-03-17 00:28:00,43
2022-03-17 00:29:00,42
2022-03-17 00:51:00,47
2022-03-17 00:52:00,48
2022-03-17 00:53:00,50
2022-03-17 00:54:00,45
2022-03-17 00:55:00,44
2022-03-17 00:56:00,41
2022-03-17 00:57:00,45
2022-03-17 00:58:00,45
2022-03-17 00:59:00,49
2022-03-17 01:00:00,46
2022-03-17 01:10:00,43
2022-03-17 01:11:00,45
2022-03-17 01:12:00,51
2022-03-17 01:13:00,47
2022-03-17 01:14:00,44
2022-03-17 01:15:00,43
2022-03-17 01:16:00,42
2022-03-17 01:17:00,44
2022-03-17 01:18:00,45
2022-03-17 01:19:00,45
2022-03-17 01:20:00,51
2022-03-17 01:21:00,50
2022-03-17 01:22:00,49
2022-03-17 01:23:00,44
2022-03-17 01:24:00,48
2022-03-17 01:25:00,47
2022-03-17 01:26:00,40
2022-03-17 01:27:00,39
2022-03-17 01:28:00,48
2022-03-17 01:29:00,44
2022-03-17 01:30:00,42
2022-03-17 01:31:00,43
2022-03-17 01:33:00,45
2022-03-17 01:34:00,50
2022-03-17 01:35:00,41
2022-03-17 01:36:00,41
2022-03-17 01:37:00,44
2022-03-17 01:38:00,46
2022-03-17 01:39:00,47
2022-03-17 01:40:00,45
