sep=,
"Time","dt_sound_level_dB"
2022-03-16 00:49:00,55
2022-03-16 00:50:00,50
2022-03-16 00:51:00,54
2022-03-16 00:52:00,51
2022-03-16 00:53:00,50
2022-03-16 00:54:00,51
2022-03-16 00:55:00,48
2022-03-16 00:56:00,57
2022-03-16 00:57:00,49
2022-03-16 01:19:00,48
2022-03-16 01:20:00,51
2022-03-16 01:21:00,48
2022-03-16 01:22:00,46
2022-03-16 01:23:00,48
2022-03-16 01:24:00,48
2022-03-16 01:25:00,49
2022-03-16 01:26:00,48
2022-03-16 01:27:00,48
2022-03-16 01:28:00,47
2022-03-16 01:49:00,50
2022-03-16 01:50:00,50
2022-03-16 01:51:00,51
2022-03-16 01:52:00,51
2022-03-16 01:53:00,50
2022-03-16 01:54:00,50
2022-03-16 01:55:00,52
2022-03-16 01:56:00,49
2022-03-16 01:57:00,49
2022-03-16 02:09:00,48
2022-03-16 02:10:00,48
2022-03-16 02:11:00,47
2022-03-16 02:12:00,47
2022-03-16 02:13:00,47
2022-03-16 02:14:00,47
2022-03-16 02:15:00,47
2022-03-16 02:16:00,48
2022-03-16 02:17:00,46
2022-03-16 02:18:00,50
2022-03-16 02:29:00,49
2022-03-16 02:30:00,47
2022-03-16 02:31:00,47
2022-03-16 02:32:00,49
2022-03-16 02:33:00,51
2022-03-16 02:34:00,48
2022-03-16 02:35:00,47
2022-03-16 02:36:00,49
2022-03-16 02:37:00,49
2022-03-16 02:38:00,50
2022-03-16 02:39:00,54
2022-03-16 02:40:00,47
2022-03-16 02:41:00,47
2022-03-16 02:42:00,47
2022-03-16 02:43:00,50
2022-03-16 02:44:00,51
2022-03-16 02:45:00,49
2022-03-16 02:46:00,50
2022-03-16 02:47:00,50
2022-03-16 02:48:00,48
2022-03-16 03:39:00,48
2022-03-16 03:40:00,49
2022-03-16 03:41:00,48
2022-03-16 03:42:00,48
2022-03-16 03:43:00,50
2022-03-16 03:44:00,48
2022-03-16 03:45:00,50
2022-03-16 03:46:00,51
2022-03-16 03:47:00,49
2022-03-16 03:48:00,50
2022-03-16 03:49:00,48
2022-03-16 03:50:00,47
2022-03-16 03:51:00,48
2022-03-16 03:52:00,49
2022-03-16 03:53:00,47
2022-03-16 03:54:00,46
2022-03-16 03:55:00,50
2022-03-16 03:56:00,48
2022-03-16 03:57:00,48
2022-03-16 04:29:00,51
2022-03-16 04:30:00,50
2022-03-16 04:31:00,49
2022-03-16 04:32:00,53
2022-03-16 04:33:00,51
2022-03-16 04:34:00,47
2022-03-16 04:35:00,48
