sep=,
"Time","dt_sound_level_dB"
2022-03-16 11:37:00,61
2022-03-16 11:38:00,63
2022-03-16 11:39:00,66
2022-03-16 11:40:00,67
2022-03-16 11:41:00,66
2022-03-16 11:42:00,63
2022-03-16 11:43:00,65
2022-03-16 11:44:00,61
2022-03-16 11:45:00,64
2022-03-16 11:47:00,67
2022-03-16 11:48:00,64
2022-03-16 11:49:00,65
2022-03-16 11:50:00,63
2022-03-16 11:51:00,64
2022-03-16 11:52:00,63
2022-03-16 11:53:00,62
2022-03-16 11:54:00,64
2022-03-16 11:55:00,63
2022-03-16 11:56:00,63
2022-03-16 12:32:00,63
2022-03-16 12:41:00,65
2022-03-16 12:42:00,67
2022-03-16 12:43:00,62
2022-03-16 12:44:00,63
2022-03-16 12:45:00,61
2022-03-16 12:46:00,63
2022-03-16 12:48:00,63
2022-03-16 12:48:00,67
2022-03-16 12:49:00,65
2022-03-16 12:51:00,64
2022-03-16 13:02:00,66
2022-03-16 13:03:00,67
2022-03-16 13:04:00,65
2022-03-16 13:05:00,64
2022-03-16 13:06:00,65
2022-03-16 13:07:00,63
2022-03-16 13:08:00,66
2022-03-16 13:09:00,66
2022-03-16 13:10:00,63
2022-03-16 13:11:00,62
2022-03-16 13:12:00,64
2022-03-16 13:13:00,63
2022-03-16 13:14:00,63
2022-03-16 13:15:00,67
2022-03-16 13:16:00,67
2022-03-16 13:17:00,65
2022-03-16 13:18:00,62
2022-03-16 13:19:00,60
2022-03-16 13:20:00,61
2022-03-16 13:21:00,64
2022-03-16 13:22:00,65
2022-03-16 13:23:00,64
2022-03-16 13:24:00,62
2022-03-16 13:26:00,61
2022-03-16 13:27:00,61
2022-03-16 13:28:00,61
2022-03-16 13:29:00,65
2022-03-16 13:30:00,64
2022-03-16 13:31:00,64
2022-03-16 13:32:00,61
2022-03-16 13:33:00,61
2022-03-16 13:34:00,59
2022-03-16 13:35:00,68
2022-03-16 13:36:00,66
2022-03-16 13:37:00,61
2022-03-16 13:38:00,62
2022-03-16 13:39:00,59
2022-03-16 13:40:00,61
2022-03-16 13:41:00,60
2022-03-16 13:42:00,64
2022-03-16 13:43:00,66
2022-03-16 13:44:00,62
2022-03-16 13:45:00,65
2022-03-16 13:46:00,62
2022-03-16 13:47:00,63
2022-03-16 13:48:00,66
2022-03-16 13:49:00,66
2022-03-16 13:50:00,65
2022-03-16 13:51:00,61
2022-03-16 14:12:00,63
2022-03-16 14:13:00,61
2022-03-16 14:14:00,61
2022-03-16 14:15:00,62
2022-03-16 14:16:00,62
2022-03-16 14:17:00,61
2022-03-16 14:18:00,58
2022-03-16 14:19:00,61
2022-03-16 14:20:00,61
2022-03-16 14:21:00,63
2022-03-16 14:22:00,64
2022-03-16 14:23:00,65
2022-03-16 14:25:00,61
2022-03-16 14:26:00,62
2022-03-16 14:27:00,59
2022-03-16 14:28:00,61
2022-03-16 14:29:00,63
2022-03-16 14:30:00,63
2022-03-16 14:31:00,62
2022-03-16 14:32:00,58
2022-03-16 14:33:00,60
2022-03-16 14:34:00,62
2022-03-16 14:35:00,62
2022-03-16 14:36:00,63
2022-03-16 14:37:00,62
2022-03-16 14:38:00,66
2022-03-16 14:39:00,59
2022-03-16 14:40:00,60
2022-03-16 14:41:00,61
2022-03-16 19:02:00,57
2022-03-16 19:03:00,62
2022-03-16 19:04:00,56
2022-03-16 19:05:00,57
2022-03-16 19:06:00,63
2022-03-16 19:07:00,59
2022-03-16 19:08:00,57
2022-03-16 19:09:00,61
2022-03-16 19:10:00,56
2022-03-16 19:11:00,55
2022-03-16 19:32:00,58
2022-03-16 19:33:00,59
2022-03-16 19:34:00,59
2022-03-16 19:35:00,60
2022-03-16 19:36:00,62
2022-03-16 19:37:00,60
2022-03-16 19:38:00,57
2022-03-16 19:39:00,58
2022-03-16 19:40:00,59
2022-03-16 19:41:00,59
2022-03-16 20:02:00,61
2022-03-16 20:03:00,58
2022-03-16 20:04:00,57
2022-03-16 20:05:00,56
2022-03-16 20:06:00,61
2022-03-16 20:07:00,58
2022-03-16 20:08:00,60
2022-03-16 20:09:00,60
2022-03-16 20:10:00,57
2022-03-16 20:11:00,58
2022-03-16 20:22:00,58
2022-03-16 20:24:00,59
2022-03-16 20:25:00,57
2022-03-16 20:26:00,57
2022-03-16 20:27:00,62
2022-03-16 20:28:00,56
2022-03-16 20:29:00,58
2022-03-16 20:30:00,63
2022-03-16 20:31:00,57
2022-03-16 20:32:00,57
2022-03-16 20:33:00,58
2022-03-16 20:34:00,57
2022-03-16 20:35:00,55
2022-03-16 20:36:00,58
2022-03-16 20:37:00,59
