sep=,
"Time","dt_sound_level_dB"
2022-03-16 00:47:00,48
2022-03-16 00:48:00,52
2022-03-16 00:49:00,50
2022-03-16 00:50:00,48
2022-03-16 00:51:00,49
2022-03-16 00:52:00,48
2022-03-16 00:53:00,46
2022-03-16 00:54:00,47
2022-03-16 00:55:00,48
2022-03-16 00:56:00,49
2022-03-16 00:57:00,45
2022-03-16 00:58:00,46
2022-03-16 00:59:00,46
2022-03-16 01:00:00,50
2022-03-16 01:01:00,48
2022-03-16 01:02:00,48
2022-03-16 01:03:00,49
2022-03-16 01:04:00,46
2022-03-16 01:05:00,45
2022-03-16 01:37:00,45
2022-03-16 01:38:00,45
2022-03-16 01:39:00,45
2022-03-16 01:40:00,51
2022-03-16 01:41:00,47
2022-03-16 01:42:00,47
2022-03-16 01:43:00,47
2022-03-16 01:44:00,45
2022-03-16 01:45:00,47
2022-03-16 01:46:00,46
2022-03-16 01:47:00,49
2022-03-16 01:48:00,45
2022-03-16 01:49:00,50
2022-03-16 01:50:00,46
2022-03-16 01:51:00,45
2022-03-16 01:52:00,45
2022-03-16 01:53:00,45
2022-03-16 01:54:00,49
2022-03-16 01:55:00,49
2022-03-16 02:37:00,46
2022-03-16 02:38:00,48
2022-03-16 02:39:00,47
2022-03-16 02:40:00,46
2022-03-16 02:41:00,50
2022-03-16 02:42:00,47
2022-03-16 02:43:00,46
2022-03-16 02:44:00,47
2022-03-16 02:45:00,46
2022-03-16 02:46:00,52
2022-03-16 04:16:00,47
2022-03-16 04:17:00,46
2022-03-16 04:19:00,46
2022-03-16 04:20:00,47
2022-03-16 04:21:00,49
2022-03-16 04:22:00,49
2022-03-16 04:23:00,51
2022-03-16 04:24:00,49
2022-03-16 04:25:00,47
2022-03-16 04:26:00,47
2022-03-16 05:47:00,51
2022-03-16 05:48:00,56
2022-03-16 05:49:00,54
2022-03-16 05:50:00,51
2022-03-16 05:51:00,48
2022-03-16 05:52:00,53
2022-03-16 05:53:00,53
2022-03-16 05:54:00,55
2022-03-16 05:55:00,60
2022-03-16 06:37:00,53
2022-03-16 06:38:00,54
2022-03-16 06:39:00,56
2022-03-16 06:40:00,58
2022-03-16 06:41:00,61
2022-03-16 06:42:00,55
2022-03-16 06:43:00,56
2022-03-16 06:44:00,51
2022-03-16 06:45:00,55
2022-03-16 06:46:00,55
2022-03-16 10:06:00,60
2022-03-16 10:07:00,59
2022-03-16 10:08:00,65
2022-03-16 10:09:00,57
2022-03-16 10:10:00,59
2022-03-16 10:11:00,64
2022-03-16 10:12:00,59
2022-03-16 10:13:00,60
2022-03-16 10:14:00,62
2022-03-16 10:15:00,59
2022-03-16 10:16:00,59
2022-03-16 10:17:00,65
2022-03-16 10:19:00,63
2022-03-16 10:20:00,57
2022-03-16 10:21:00,64
2022-03-16 10:22:00,61
2022-03-16 10:23:00,58
2022-03-16 10:24:00,63
2022-03-16 10:25:00,63
2022-03-16 10:26:00,59
2022-03-16 10:27:00,62
2022-03-16 10:28:00,64
2022-03-16 10:29:00,56
2022-03-16 10:30:00,60
2022-03-16 10:31:00,63
2022-03-16 10:32:00,59
2022-03-16 10:33:00,61
2022-03-16 10:34:00,64
2022-03-16 10:35:00,59
2022-03-16 10:36:00,58
2022-03-16 12:37:00,64
2022-03-16 12:38:00,59
2022-03-16 12:39:00,61
2022-03-16 12:40:00,65
2022-03-16 12:41:00,60
2022-03-16 12:42:00,59
2022-03-16 12:43:00,65
2022-03-16 12:44:00,61
2022-03-16 12:45:00,59
2022-03-16 12:46:00,62
2022-03-16 12:47:00,61
2022-03-16 12:48:00,58
2022-03-16 12:49:00,63
2022-03-16 12:50:00,62
2022-03-16 12:51:00,58
2022-03-16 12:52:00,64
2022-03-16 12:53:00,63
2022-03-16 12:54:00,60
2022-03-16 12:55:00,63
2022-03-16 12:56:00,65
2022-03-16 12:57:00,58
2022-03-16 12:58:00,62
2022-03-16 12:59:00,66
2022-03-16 13:00:00,59
2022-03-16 13:01:00,63
2022-03-16 13:02:00,65
2022-03-16 13:03:00,59
2022-03-16 13:04:00,64
2022-03-16 13:05:00,65
2022-03-16 13:16:00,60
2022-03-16 13:18:00,64
2022-03-16 13:19:00,62
2022-03-16 13:20:00,60
2022-03-16 13:21:00,60
2022-03-16 13:22:00,61
2022-03-16 13:23:00,56
2022-03-16 13:24:00,62
2022-03-16 13:25:00,63
2022-03-16 13:26:00,58
2022-03-16 13:27:00,63
2022-03-16 13:28:00,65
2022-03-16 13:29:00,57
2022-03-16 13:30:00,60
2022-03-16 13:31:00,65
2022-03-16 13:32:00,57
2022-03-16 13:33:00,63
2022-03-16 13:34:00,65
2022-03-16 13:35:00,58
2022-03-16 13:36:00,60
2022-03-16 13:37:00,65
2022-03-16 13:38:00,59
2022-03-16 13:39:00,62
2022-03-16 13:40:00,64
2022-03-16 13:41:00,59
2022-03-16 13:42:00,60
2022-03-16 13:43:00,64
2022-03-16 13:44:00,63
2022-03-16 13:45:00,60
2022-03-16 13:46:00,66
2022-03-16 14:16:00,59
2022-03-16 14:17:00,63
2022-03-16 14:19:00,61
2022-03-16 14:20:00,61
2022-03-16 14:21:00,63
2022-03-16 14:22:00,63
2022-03-16 14:23:00,58
2022-03-16 14:24:00,62
2022-03-16 14:25:00,65
2022-03-16 14:26:00,58
2022-03-16 14:27:00,63
2022-03-16 14:28:00,65
2022-03-16 14:29:00,59
2022-03-16 14:30:00,61
2022-03-16 14:31:00,64
2022-03-16 14:32:00,59
2022-03-16 14:33:00,59
2022-03-16 14:34:00,64
