sep=,
"Time","dt_sound_level_dB"
2022-03-16 12:01:00,59
2022-03-16 12:02:00,61
2022-03-16 12:03:00,61
2022-03-16 12:04:00,60
2022-03-16 12:05:00,61
2022-03-16 12:06:00,60
2022-03-16 12:17:00,59
2022-03-16 12:18:00,60
2022-03-16 12:19:00,59
2022-03-16 12:20:00,59
2022-03-16 12:21:00,60
2022-03-16 12:22:00,61
2022-03-16 12:23:00,60
2022-03-16 12:24:00,60
2022-03-16 12:25:00,58
2022-03-16 12:26:00,55
2022-03-16 12:27:00,59
2022-03-16 12:28:00,59
2022-03-16 12:29:00,62
2022-03-16 12:30:00,60
2022-03-16 12:31:00,60
2022-03-16 12:32:00,60
2022-03-16 12:33:00,64
2022-03-16 12:34:00,60
2022-03-16 12:36:00,61
2022-03-16 12:37:00,61
2022-03-16 12:38:00,59
2022-03-16 12:39:00,62
2022-03-16 12:40:00,60
2022-03-16 12:41:00,61
2022-03-16 12:42:00,62
2022-03-16 12:43:00,65
2022-03-16 12:44:00,58
2022-03-16 12:45:00,59
2022-03-16 12:45:00,60
2022-03-16 13:17:00,60
2022-03-16 13:18:00,58
2022-03-16 13:19:00,59
2022-03-16 13:20:00,59
2022-03-16 13:21:00,60
2022-03-16 13:22:00,62
2022-03-16 13:23:00,60
2022-03-16 13:24:00,60
2022-03-16 13:25:00,59
2022-03-16 13:26:00,57
2022-03-16 13:27:00,60
2022-03-16 13:28:00,61
2022-03-16 13:29:00,65
2022-03-16 13:30:00,60
2022-03-16 13:31:00,59
2022-03-16 13:32:00,59
2022-03-16 13:33:00,59
2022-03-16 13:34:00,61
2022-03-16 13:36:00,63
2022-03-16 13:37:00,60
2022-03-16 13:47:00,59
2022-03-16 13:48:00,61
2022-03-16 13:49:00,66
2022-03-16 13:50:00,61
2022-03-16 13:51:00,60
2022-03-16 13:52:00,61
2022-03-16 13:53:00,59
2022-03-16 13:54:00,61
2022-03-16 13:55:00,60
2022-03-16 13:56:00,61
2022-03-16 13:57:00,60
2022-03-16 13:58:00,59
2022-03-16 13:59:00,59
2022-03-16 14:00:00,58
2022-03-16 14:01:00,59
2022-03-16 14:02:00,60
2022-03-16 14:03:00,62
2022-03-16 14:04:00,59
2022-03-16 14:05:00,59
2022-03-16 14:06:00,59
2022-03-16 14:07:00,59
2022-03-16 14:08:00,62
2022-03-16 14:09:00,63
2022-03-16 14:10:00,59
2022-03-16 14:11:00,61
2022-03-16 14:12:00,59
2022-03-16 14:13:00,59
2022-03-16 14:14:00,55
2022-03-16 14:15:00,62
2022-03-16 14:16:00,60
2022-03-16 14:27:00,60
2022-03-16 14:28:00,60
2022-03-16 14:29:00,59
2022-03-16 14:30:00,62
2022-03-16 14:31:00,59
2022-03-16 14:32:00,58
2022-03-16 14:33:00,60
2022-03-16 14:34:00,61
2022-03-16 14:35:00,62
2022-03-16 14:37:00,62
2022-03-16 14:38:00,59
2022-03-16 14:39:00,59
2022-03-16 14:40:00,60
2022-03-16 14:41:00,60
2022-03-16 14:42:00,60
2022-03-16 14:43:00,61
2022-03-16 14:44:00,62
2022-03-16 14:45:00,61
2022-03-16 14:46:00,59
2022-03-16 18:47:00,62
2022-03-16 18:48:00,59
2022-03-16 18:49:00,55
2022-03-16 18:50:00,60
2022-03-16 18:51:00,59
2022-03-16 18:52:00,54
2022-03-16 18:53:00,60
2022-03-16 18:54:00,57
2022-03-16 18:55:00,55
2022-03-16 18:56:00,59
2022-03-16 18:57:00,59
2022-03-16 18:58:00,55
2022-03-16 18:59:00,58
2022-03-16 19:00:00,58
2022-03-16 19:01:00,54
2022-03-16 19:02:00,57
2022-03-16 19:03:00,59
2022-03-16 19:04:00,56
2022-03-16 19:05:00,56
2022-03-16 19:06:00,60
2022-03-16 19:07:00,57
2022-03-16 19:08:00,53
2022-03-16 19:09:00,61
2022-03-16 19:10:00,56
2022-03-16 19:11:00,53
2022-03-16 19:12:00,60
2022-03-16 19:13:00,55
2022-03-16 19:14:00,53
2022-03-16 19:15:00,58
2022-03-16 19:16:00,56
2022-03-16 19:47:00,56
2022-03-16 19:48:00,57
2022-03-16 19:49:00,55
2022-03-16 19:50:00,57
2022-03-16 19:51:00,59
2022-03-16 19:52:00,55
2022-03-16 19:53:00,58
2022-03-16 19:54:00,60
2022-03-16 19:55:00,53
2022-03-16 19:56:00,53
2022-03-16 20:27:00,55
2022-03-16 20:28:00,53
2022-03-16 20:29:00,59
2022-03-16 20:30:00,54
2022-03-16 20:32:00,58
2022-03-16 20:33:00,57
2022-03-16 20:34:00,53
2022-03-16 20:35:00,49
2022-03-16 20:36:00,58
2022-03-16 20:37:00,59
2022-03-16 20:38:00,56
2022-03-16 20:39:00,52
2022-03-16 20:40:00,56
2022-03-16 20:41:00,54
2022-03-16 20:42:00,57
2022-03-16 20:43:00,58
2022-03-16 20:44:00,60
2022-03-16 20:45:00,52
2022-03-16 20:46:00,57
2022-03-16 22:57:00,53
2022-03-16 22:58:00,52
2022-03-16 22:59:00,50
2022-03-16 23:00:00,49
2022-03-16 23:01:00,52
2022-03-16 23:02:00,53
2022-03-16 23:03:00,53
2022-03-16 23:04:00,54
2022-03-16 23:05:00,52
2022-03-16 23:06:00,51
2022-03-16 23:27:00,49
2022-03-16 23:28:00,47
2022-03-16 23:29:00,53
2022-03-16 23:30:00,54
2022-03-16 23:31:00,52
2022-03-16 23:33:00,53
2022-03-16 23:34:00,49
2022-03-16 23:35:00,51
2022-03-16 23:36:00,56
2022-03-16 23:37:00,53
2022-03-16 23:38:00,50
2022-03-16 23:39:00,48
2022-03-16 23:40:00,49
2022-03-16 23:41:00,49
2022-03-16 23:42:00,52
2022-03-16 23:43:00,53
